,county,state,county_population,covid_hospital_admissions_per_100k,covid_cases_per_100k,lon,lat
33781,Weber County,Utah,260213.0,1.7,0.0,-111.8860648,41.2728039
33782,Morgan County,Utah,12124.0,1.7,0.0,-111.6509149,41.0784068
33783,Park County,Wyoming,29194.0,0.0,34.25,-109.5678484,44.6076072
33784,Big Horn County,Wyoming,11790.0,0.0,0.0,-108.0024782,44.4952545
33785,Logan County,Colorado,22409.0,6.9,8.92,-103.1221379,40.7250975
33786,Sedgwick County,Colorado,2248.0,6.9,88.97,-102.3777262,40.8698595
33787,Phillips County,Colorado,4265.0,6.9,0.0,-102.3701723,40.5888329
33788,Dawson County,Montana,8613.0,0.0,174.16,-104.9259088,47.2416708
33789,Richland County,Montana,10803.0,0.0,18.51,-104.559421,47.8314138
33790,McCone County,Montana,1664.0,0.0,0.0,-105.8467942,47.5823259
33791,Wibaux County,Montana,969.0,0.0,0.0,-104.2215171,46.910018
33792,Otero County,New Mexico,67490.0,3.4,23.71,-105.8063662,32.5059533
33793,Lincoln County,New Mexico,19572.0,3.4,102.19,-105.4158806,33.7525727
33794,Chaves County,New Mexico,64615.0,0.0,21.67,-104.5133481,33.2993426
33795,Eddy County,New Mexico,58460.0,0.0,27.37,-104.3452596,32.4003136
33796,Powell County,Montana,6890.0,0.0,0.0,-113.0294193,46.9109569
33797,Tulare County,California,466195.0,1.3,108.54,-118.852583,36.2516475
33798,White Pine County,Nevada,9580.0,20.9,0.0,-114.8899563,39.5298185
33799,Grant County,Oregon,7199.0,0.0,41.67,-119.0565278,44.464824
33800,Camas County,Idaho,1106.0,0.0,0.0,-114.8070143,43.4064019
33801,Blaine County,Idaho,23021.0,0.0,82.53,-113.8808311,43.3336455
33802,Custer County,Colorado,5068.0,1.9,39.46,-105.3543375,38.1072962
33803,Fremont County,Colorado,47839.0,1.9,62.71,-105.4328622,38.4692006
33804,Union County,New Mexico,4059.0,0.0,73.91,-103.4132264,36.3985203
33805,Juneau Cty&Bor,Alaska,31974.0,4.3,372.18,,
33806,Skagway Muny,Alaska,1183.0,4.3,169.06,,
33807,Sitka Cty&Bor,Alaska,8493.0,4.3,800.66,,
