"Zip","Total Cases","Deaths"
"60974","45","N/A"
"61001","222","N/A"
"61006","401","N/A"
"61007","116","N/A"
"61008","8,908","N/A"
"61010","2,372","N/A"
"61011","674","N/A"
"61012","601","N/A"
"61013","166","N/A"
"61014","219","N/A"
"61015","224","N/A"
"61016","1,271","N/A"
"61018","252","N/A"
"61019","798","N/A"
"61020","1,013","N/A"
"61021","6,220","N/A"
"61024","655","N/A"
"61025","603","N/A"
"61027","13","N/A"
"61028","367","N/A"
"61030","668","N/A"
"61031","434","N/A"
"61032","7,764","N/A"
"61036","1,157","N/A"
"61037","34","N/A"
"61038","285","N/A"
"61039","205","N/A"
"61041","322","N/A"
"61042","103","N/A"
"61043","43","N/A"
"61044","56","N/A"
"61046","686","N/A"
"61047","426","N/A"
"61048","1,046","N/A"
"61049","88","N/A"
"61050","88","N/A"
"61051","339","N/A"
"61052","320","N/A"
"61053","581","N/A"
"61054","844","N/A"
"61059","48","N/A"
"61060","318","N/A"
"61061","1,624","N/A"
"61062","494","N/A"
"61063","940","N/A"
"61064","880","N/A"
"61065","2,931","N/A"
"61067","168","N/A"
"61068","4,197","N/A"
"61070","281","N/A"
"61071","3,812","N/A"
"61072","2,901","N/A"
"61073","5,261","N/A"
"61074","950","N/A"
"61075","224","N/A"
"61077","20","N/A"
"61078","315","N/A"
"61079","18","N/A"
"61080","2,904","N/A"
"61081","6,305","N/A"
"61084","877","N/A"
"61085","717","N/A"
"61087","359","N/A"
"61088","1,692","N/A"
"61089","211","N/A"
"61091","21","N/A"
"61101","5,174","N/A"
"61102","4,957","N/A"
"61103","6,297","N/A"
"61104","4,616","N/A"
"61105","30","N/A"
"61106","11","N/A"
"61107","8,574","N/A"
"61108","8,307","N/A"
"61109","7,596","N/A"
"61110","28","N/A"
"61111","6,400","N/A"
"61112","38","N/A"
"61114","4,233","N/A"
"61115","6,166","N/A"
"61125","32","N/A"
"61126","28","N/A"
"61132","16","N/A"
"61201","8,403","N/A"
"61204","41","N/A"
"61230","281","N/A"
"61231","1,559","N/A"
"61232","329","N/A"
"61233","116","N/A"
"61234","325","N/A"
"61235","319","N/A"
"61236","27","N/A"
"61237","6","N/A"
"61238","728","N/A"
"61239","226","N/A"
"61240","1,370","N/A"
"61241","1,841","N/A"
"61242","245","N/A"
"61243","38","N/A"
"61244","5,721","N/A"
"61250","641","N/A"
"61251","92","N/A"
"61252","1,331","N/A"
"61254","2,646","N/A"
"61256","455","N/A"
"61257","257","N/A"
"61258","34","N/A"
"61259","177","N/A"
"61260","172","N/A"
"61261","212","N/A"
"61262","173","N/A"
"61263","181","N/A"
"61264","2,334","N/A"
"61265","10,162","N/A"
"61266","29","N/A"
"61270","1,832","N/A"
"61272","310","N/A"
"61273","784","N/A"
"61274","69","N/A"
"61275","1,073","N/A"
"61276","35","N/A"
"61277","897","N/A"
"61278","98","N/A"
"61279","229","N/A"
"61281","656","N/A"
"61282","1,996","N/A"
"61283","317","N/A"
"61284","483","N/A"
"61285","1,296","N/A"
"61301","2,660","N/A"
"61310","892","N/A"
"61311","57","N/A"
"61312","86","N/A"
"61313","74","N/A"
"61314","186","N/A"
"61315","68","N/A"
"61316","80","N/A"
"61317","96","N/A"
"61318","146","N/A"
"61319","306","N/A"
"61320","129","N/A"
"61321","82","N/A"
"61322","419","N/A"
"61323","28","N/A"
"61324","21","N/A"
"61325","224","N/A"
"61326","486","N/A"
"61327","252","N/A"
"61329","328","N/A"
"61330","365","N/A"
"61332","24","N/A"
"61333","128","N/A"
"61334","167","N/A"
"61335","102","N/A"
"61336","101","N/A"
"61337","131","N/A"
"61338","94","N/A"
"61340","72","N/A"
"61341","2,022","N/A"
"61342","2,735","N/A"
"61344","88","N/A"
"61345","181","N/A"
"61346","12","N/A"
"61348","1,195","N/A"
"61349","244","N/A"
"61350","6,142","N/A"
"61353","300","N/A"
"61354","2,841","N/A"
"61356","2,677","N/A"
"61358","97","N/A"
"61359","76","N/A"
"61360","732","N/A"
"61361","310","N/A"
"61362","1,647","N/A"
"61363","53","N/A"
"61364","5,360","N/A"
"61367","177","N/A"
"61368","252","N/A"
"61369","458","N/A"
"61370","266","N/A"
"61371","17","N/A"
"61372","47","N/A"
"61373","492","N/A"
"61374","21","N/A"
"61375","189","N/A"
"61376","535","N/A"
"61377","340","N/A"
"61378","86","N/A"
"61379","326","N/A"
"61401","7,939","N/A"
"61402","656","N/A"
"61410","1,000","N/A"
"61411","89","N/A"
"61412","306","N/A"
"61413","204","N/A"
"61414","152","N/A"
"61415","387","N/A"
"61416","60","N/A"
"61417","44","N/A"
"61418","101","N/A"
"61419","29","N/A"
"61420","237","N/A"
"61421","342","N/A"
"61422","857","N/A"
"61423","129","N/A"
"61424","18","N/A"
"61425","61","N/A"
"61426","19","N/A"
"61427","570","N/A"
"61428","245","N/A"
"61430","170","N/A"
"61431","81","N/A"
"61432","154","N/A"
"61433","33","N/A"
"61434","762","N/A"
"61435","30","N/A"
"61436","163","N/A"
"61437","124","N/A"
"61438","143","N/A"
"61439","58","N/A"
"61440","158","N/A"
"61441","228","N/A"
"61442","155","N/A"
"61443","4,150","N/A"
"61447","206","N/A"
"61448","902","N/A"
"61449","112","N/A"
"61450","376","N/A"
"61451","73","N/A"
"61452","69","N/A"
"61453","136","N/A"
"61454","117","N/A"
"61455","4,814","N/A"
"61458","131","N/A"
"61459","67","N/A"
"61460","48","N/A"
"61462","2,719","N/A"
"61465","261","N/A"
"61466","83","N/A"
"61467","229","N/A"
"61468","12","N/A"
"61469","340","N/A"
"61470","132","N/A"
"61471","21","N/A"
"61472","121","N/A"
"61473","392","N/A"
"61474","58","N/A"
"61475","51","N/A"
"61476","82","N/A"
"61477","124","N/A"
"61478","54","N/A"
"61479","33","N/A"
"61480","268","N/A"
"61482","200","N/A"
"61483","549","N/A"
"61484","180","N/A"
"61485","133","N/A"
"61486","333","N/A"
"61488","231","N/A"
"61489","201","N/A"
"61490","215","N/A"
"61491","529","N/A"
"61501","500","N/A"
"61516","176","N/A"
"61517","794","N/A"
"61519","64","N/A"
"61520","5,480","N/A"
"61523","2,481","N/A"
"61524","67","N/A"
"61525","2,881","N/A"
"61526","298","N/A"
"61528","806","N/A"
